Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C3, C5, C6, C7, C9",1206,7,10nF,
"C10, C4",1206,2,33pF,
"C2, C8",1206,2,100nF,
J1,SI5351 Module,1,Si5351,
J2,SMA_EDGELAUNCH_Same,1,RFinInphase,
J3,SMA_EDGELAUNCH_Same,1,RFinQuadrature,
J4,SMA_EDGELAUNCH_Same,1,RFinSplitter,
J5,SMA_EDGELAUNCH_Same,1,outInphase,
J6,SMA_EDGELAUNCH_Same,1,outQuadrature,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,SolderJumper_2_Open,
"R1, R2",1206,2,50R,
"U1, U2",SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,2,"SA602AD/01,118",C2654478
